id,recording,site,year,month,day,hour,min,species,songtype,x1,x2,y1,y2,validated,uri,score,site_id
84992770,20200413_213000.flac,Yat1,2020,4,13,21,30,sp50,Common Song,10.832,11.834666666666667,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992770.png,0.3652072257484033,5671
84992771,20200420_040000.flac,Yat1,2020,4,20,4,0,sp50,Common Song,54.36266666666667,55.36533333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992771.png,0.15305915205026152,5671
84992772,20200319_220000.flac,Yat1,2020,3,19,22,0,sp50,Common Song,33.80266666666667,34.80533333333333,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992772.png,0.19254293975176356,5671
84992773,20200825_220000.flac,Yat1,2020,8,25,22,0,sp50,Common Song,28.672,29.674666666666667,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992773.png,0.16064594872924154,5671
84992774,20200413_220000.flac,Yat1,2020,4,13,22,0,sp50,Common Song,42.78933333333333,43.792,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992774.png,0.18277367754891566,5671
84992775,20200319_223000.flac,Yat1,2020,3,19,22,30,sp50,Common Song,24.826666666666668,25.829333333333334,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992775.png,0.1546688439580362,5671
84992776,20200628_033000.flac,Yat1,2020,6,28,3,30,sp50,Common Song,36.10666666666667,37.10933333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992776.png,0.15917547328518666,5671
84992777,20200413_223000.flac,Yat1,2020,4,13,22,30,sp50,Common Song,49.74933333333333,50.752,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992777.png,0.18712640147188442,5671
84992778,20200618_193000.flac,Yat1,2020,6,18,19,30,sp50,Common Song,49.68,50.68266666666667,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992778.png,0.1539860633554794,5671
84992779,20200319_230000.flac,Yat1,2020,3,19,23,0,sp50,Common Song,4.864,5.866666666666666,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992779.png,0.15525881793292798,5671
84992780,20200628_040000.flac,Yat1,2020,6,28,4,0,sp50,Common Song,53.00266666666667,54.00533333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992780.png,0.18097199104147624,5671
84992781,20200618_200000.flac,Yat1,2020,6,18,20,0,sp50,Common Song,58.944,59.946666666666665,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992781.png,0.15974478638906778,5671
84992782,20200413_230000.flac,Yat1,2020,4,13,23,0,sp50,Common Song,29.045333333333332,30.048,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992782.png,0.20404185672456088,5671
84992783,20200326_050000.flac,Yat1,2020,3,26,5,0,sp50,Common Song,54.68266666666667,55.68533333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992783.png,0.1639960218173525,5671
84992784,20200420_053000.flac,Yat1,2020,4,20,5,30,sp50,Common Song,55.61066666666667,56.61333333333334,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992784.png,0.15143419123055024,5671
84992785,20200426_123000.flac,Yat1,2020,4,26,12,30,sp50,Common Song,48.10666666666667,49.10933333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992785.png,0.16388933918447857,5671
84992786,20200319_233000.flac,Yat1,2020,3,19,23,30,sp50,Common Song,49.392,50.394666666666666,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992786.png,0.17109554870615806,5671
84992787,20200618_210000.flac,Yat1,2020,6,18,21,0,sp50,Common Song,33.51466666666666,34.51733333333333,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992787.png,0.17379466375484703,5671
84992788,20200414_003000.flac,Yat1,2020,4,14,0,30,sp50,Common Song,34.61866666666667,35.62133333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992788.png,0.17984519766646764,5671
84992789,20200326_060000.flac,Yat1,2020,3,26,6,0,sp50,Common Song,27.072,28.074666666666666,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992789.png,0.2258232761404266,5671
84992790,20200727_233000.flac,Yat1,2020,7,27,23,30,sp50,Common Song,34.266666666666666,35.269333333333336,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992790.png,0.16705030099737458,5671
84992791,20201010_220000.flac,Yat1,2020,10,10,22,0,sp50,Common Song,21.061333333333334,22.064,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992791.png,0.2628125432805522,5671
84992792,20200707_123000.flac,Yat1,2020,7,7,12,30,sp50,Common Song,52.23466666666667,53.23733333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992792.png,0.16390928631806165,5671
84992793,20200826_003000.flac,Yat1,2020,8,26,0,30,sp50,Common Song,52.55466666666667,53.55733333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992793.png,0.1514693964537211,5671
84992794,20200320_000000.flac,Yat1,2020,3,20,0,0,sp50,Common Song,56.096,57.09866666666667,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992794.png,0.16914335013516427,5671
84992795,20200407_183000.flac,Yat1,2020,4,7,18,30,sp50,Common Song,0.7946666666666666,1.7973333333333332,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992795.png,0.17388667899337296,5671
84992796,20200414_010000.flac,Yat1,2020,4,14,1,0,sp50,Common Song,31.738666666666667,32.74133333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992796.png,0.15753423933809257,5671
84992797,20200728_000000.flac,Yat1,2020,7,28,0,0,sp50,Common Song,11.322666666666667,12.325333333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992797.png,0.15365787094100022,5671
84992798,20201010_223000.flac,Yat1,2020,10,10,22,30,sp50,Common Song,15.312,16.314666666666668,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992798.png,0.1548609962431976,5671
84992799,20200320_003000.flac,Yat1,2020,3,20,0,30,sp50,Common Song,5.749333333333333,6.752,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992799.png,0.26606262347208676,5671
84992800,20200407_190000.flac,Yat1,2020,4,7,19,0,sp50,Common Song,38.448,39.45066666666666,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992800.png,0.19631732119658524,5671
84992801,20201004_170000.flac,Yat1,2020,10,4,17,0,sp50,Common Song,27.557333333333332,28.56,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992801.png,0.15102591362095427,5671
84992802,20200728_003000.flac,Yat1,2020,7,28,0,30,sp50,Common Song,57.093333333333334,58.096,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992802.png,0.15878377678726668,5671
84992803,20200414_013000.flac,Yat1,2020,4,14,1,30,sp50,Common Song,38.202666666666666,39.205333333333336,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992803.png,0.23280996227377904,5671
84992804,20200815_190000.flac,Yat1,2020,8,15,19,0,sp50,Common Song,17.797333333333334,18.8,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992804.png,0.19589169492856978,5671
84992805,20200401_133000.flac,Yat1,2020,4,1,13,30,sp50,Common Song,4.8213333333333335,5.824,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992805.png,0.18211350348015398,5671
84992806,20200320_010000.flac,Yat1,2020,3,20,1,0,sp50,Common Song,27.27466666666667,28.277333333333335,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992806.png,0.17058802725876032,5671
84992807,20200407_193000.flac,Yat1,2020,4,7,19,30,sp50,Common Song,36.51733333333333,37.52,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992807.png,0.15549970087137693,5671
84992808,20201010_230000.flac,Yat1,2020,10,10,23,0,sp50,Common Song,56.896,57.898666666666664,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992808.png,0.15889461538007632,5671
84992809,20200728_010000.flac,Yat1,2020,7,28,1,0,sp50,Common Song,26.069333333333333,27.072,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992809.png,0.2855599747622518,5671
84992810,20200825_193000.flac,Yat1,2020,8,25,19,30,sp50,Common Song,13.882666666666667,14.885333333333334,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992810.png,0.171389736939525,5671
84992811,20200420_090000.flac,Yat1,2020,4,20,9,0,sp50,Common Song,18.181333333333335,19.184,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992811.png,0.19741036676654292,5671
84992812,20200414_020000.flac,Yat1,2020,4,14,2,0,sp50,Common Song,25.717333333333332,26.72,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992812.png,0.17098526712268133,5671
84992813,20200306_190000.flac,Yat1,2020,3,6,19,0,sp50,Common Song,9.466666666666667,10.469333333333333,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992813.png,0.25179004653430376,5671
84992814,20200320_013000.flac,Yat1,2020,3,20,1,30,sp50,Common Song,11.578666666666667,12.581333333333333,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992814.png,0.16271377918724544,5671
84992815,20200407_200000.flac,Yat1,2020,4,7,20,0,sp50,Common Song,22.944,23.946666666666665,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992815.png,0.20120901366087143,5671
84992816,20200707_140000.flac,Yat1,2020,7,7,14,0,sp50,Common Song,49.536,50.538666666666664,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992816.png,0.16143401010722366,5671
84992817,20201010_233000.flac,Yat1,2020,10,10,23,30,sp50,Common Song,56.66133333333333,57.664,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992817.png,0.1970611520310293,5671
84992818,20200704_110000.flac,Yat1,2020,7,4,11,0,sp50,Common Song,56.714666666666666,57.717333333333336,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992818.png,0.17893709832329469,5671
84992819,20200815_200000.flac,Yat1,2020,8,15,20,0,sp50,Common Song,36.44266666666667,37.44533333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992819.png,0.24835031000961524,5671
84992820,20200414_023000.flac,Yat1,2020,4,14,2,30,sp50,Common Song,9.701333333333332,10.704,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992820.png,0.16516841034496188,5671
84992821,20200407_203000.flac,Yat1,2020,4,7,20,30,sp50,Common Song,15.957333333333333,16.96,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992821.png,0.20025927764958448,5671
84992822,20200628_080000.flac,Yat1,2020,6,28,8,0,sp50,Common Song,38.053333333333335,39.056,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992822.png,0.15137993619365994,5671
84992823,20201004_190000.flac,Yat1,2020,10,4,19,0,sp50,Common Song,12.522666666666666,13.525333333333334,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992823.png,0.2106555370807514,5671
84992824,20200320_023000.flac,Yat1,2020,3,20,2,30,sp50,Common Song,15.888,16.890666666666668,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992824.png,0.20920505768198366,5671
84992825,20200407_210000.flac,Yat1,2020,4,7,21,0,sp50,Common Song,0.7946666666666666,1.7973333333333332,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992825.png,0.20057294963305605,5671
84992826,20201011_003000.flac,Yat1,2020,10,11,0,30,sp50,Common Song,27.514666666666667,28.517333333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992826.png,0.15738268799907226,5671
84992827,20200825_210000.flac,Yat1,2020,8,25,21,0,sp50,Common Song,11.936,12.938666666666666,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992827.png,0.18492038845726724,5671
84992828,20200728_023000.flac,Yat1,2020,7,28,2,30,sp50,Common Song,20.346666666666668,21.349333333333334,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992828.png,0.15913461513758972,5671
84992829,20200306_203000.flac,Yat1,2020,3,6,20,30,sp50,Common Song,7.093333333333334,8.096,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992829.png,0.153819815079986,5671
84992830,20200619_003000.flac,Yat1,2020,6,19,0,30,sp50,Common Song,19.018666666666668,20.021333333333335,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992830.png,0.15461229910950436,5671
84992831,20201004_193000.flac,Yat1,2020,10,4,19,30,sp50,Common Song,49.834666666666664,50.83733333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992831.png,0.17906286281519018,5671
84992832,20200721_200000.flac,Yat1,2020,7,21,20,0,sp50,Common Song,55.605333333333334,56.608,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992832.png,0.15632590853513278,5671
84992833,20200407_213000.flac,Yat1,2020,4,7,21,30,sp50,Common Song,45.77066666666666,46.77333333333333,13125,16031.25,present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992833.png,0.23862267934678597,5671
84992834,20201004_200000.flac,Yat1,2020,10,4,20,0,sp50,Common Song,52.63466666666667,53.63733333333333,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992834.png,0.25171355489909697,5671
84992835,20200619_010000.flac,Yat1,2020,6,19,1,0,sp50,Common Song,14.154666666666667,15.157333333333334,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992835.png,0.15073558824895156,5671
84992836,20200721_203000.flac,Yat1,2020,7,21,20,30,sp50,Common Song,34.714666666666666,35.717333333333336,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992836.png,0.154750826066076,5671
84992837,20200320_033000.flac,Yat1,2020,3,20,3,30,sp50,Common Song,16.368,17.370666666666665,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992837.png,0.1670447623553281,5671
84992838,20200407_220000.flac,Yat1,2020,4,7,22,0,sp50,Common Song,33.541333333333334,34.544,13125,16031.25,not present,https://s3.amazonaws.com/arbimon2/project_33/detections/5014/84992838.png,0.17188156330915189,5671
